,Car_Name,Brand,Model,Year,Variant,Fuel_Type,Kms_Driven,City,Price,Test_Drive_Availability
0,Jaguar XE Portfolio Diesel,Jaguar,XE,2017,Portfolio Diesel,Diesel,72062,"Banjara Hills Hyderabad,",2400000,Home Test Drive
1,BMW i7 xDrive60,BMW,i7,2023,xDrive60,Electric,5000,"Jubilee Hills, Hyderabad",17300000,Home Test Drive
2,Nissan Kicks XV Premium,Nissan,Kicks,2020,XV Premium,Petrol,32409,"Madhapur, Hyderabad",889000,Home Test Drive
3,Mercedes-Benz GLC 220 d,Mercedes-Benz,GLC,2018,220 d,Diesel,126500,"Attapur, Hyderabad",2750000,Home Test Drive
4,Hyundai Venue S (O),Hyundai,Venue,2023,S (O),Petrol,5000,"Begumpet, Hyderabad",1120000,Home Test Drive
5,Toyota Innova Crysta 2.4,Toyota,Innova,2019,Crysta 2.4,Diesel,132823,"Madhapur, Hyderabad",1750000,Home Test Drive
6,Ford EcoSport Titanium 1.5L,Ford,EcoSport,2018,Titanium 1.5L,Diesel,87472,L.B. Nagar Main,725000,Home Test Drive
7,Hyundai Alcazar Prestige (O),Hyundai,Alcazar,2022,Prestige (O),Diesel,35872,"Banjara Hills Hyderabad,",1850000,Home Test Drive
8,Volkswagen Polo Trendline 1.0L,Volkswagen,Polo,2021,Trendline 1.0L,Petrol,46275,"Nagarjuna Hills, Hyderabad",630000,Home Test Drive
9,Maruti Suzuki Baleno Delta,Maruti,Suzuki,2018,Baleno Delta,Petrol,40528,"Uppal, Hyderabad",635000,Home Test Drive
10,Tata Nexon XZA Plus,Tata,Nexon,2020,XZA Plus,Petrol,29222,"Madhapur, Hyderabad",1100000,Just Arrived
11,Toyota Innova Crysta 2.4,Toyota,Innova,2021,Crysta 2.4,Diesel,75708,"Madhapur, Hyderabad",2450000,Home Test Drive
12,Hyundai Verna SX (O),Hyundai,Verna,2018,SX (O),Petrol,76678,"Nagarjuna Hills, Hyderabad",870000,Home Test Drive
13,Mahindra Thar LX Hard,Mahindra,Thar,2022,LX Hard,Diesel,47585,"Madhapur, Hyderabad",1600000,Home Test Drive
14,Mahindra Thar LX Hard,Mahindra,Thar,2022,LX Hard,Diesel,19465,"Madhapur, Hyderabad",1650000,Home Test Drive
15,Toyota Innova Crysta 2.4,Toyota,Innova,2022,Crysta 2.4,Diesel,38900,"Attapur, Hyderabad",2575000,Quality Report
16,Toyota Innova Crysta ZX,Toyota,Innova,2022,Crysta ZX,Diesel,41000,"Attapur, Hyderabad",3300000,Home Test Drive
17,Toyota Innova Crysta 2.4,Toyota,Innova,2021,Crysta 2.4,Diesel,46800,"Attapur, Hyderabad",2650000,Home Test Drive
18,Mahindra Thar LX Hard,Mahindra,Thar,2021,LX Hard,Petrol,22000,"Madhapur, Hyderabad",1450000,Home Test Drive
19,Mahindra Thar LX Convertible,Mahindra,Thar,2021,LX Convertible,Diesel,19500,"Madhapur, Hyderabad",1450000,Home Test Drive
20,Hyundai Creta SX 1.5,Hyundai,Creta,2024,SX 1.5,Petrol,21195,"Shaikpet, Hyderabad",1580000,Home Test Drive
21,Ford EcoSport Titanium 1.5L,Ford,EcoSport,2020,Titanium 1.5L,Diesel,86715,"Nagarjuna Hills, Hyderabad",800000,Home Test Drive
22,Maruti Suzuki Celerio ZXi,Maruti,Suzuki,2022,Celerio ZXi,Petrol,8356,"Uppal, Hyderabad",650000,Home Test Drive
23,Nissan Micra XV CVT,Nissan,Micra,2015,XV CVT,Petrol,18689,"Madhapur, Hyderabad",440000,Home Test Drive
24,Hyundai Verna Fluidic 1.6,Hyundai,Verna,2015,Fluidic 1.6,Petrol,85479,"Uppal, Hyderabad",550000,Home Test Drive
25,MG Gloster Savvy 6,MG,Gloster,2020,Savvy 6,Diesel,103851,"Nagarjuna Hills, Hyderabad",2499999,Home Test Drive
26,Maruti Suzuki Baleno Zeta,Maruti,Suzuki,2023,Baleno Zeta,Petrol,50298,"Uppal, Hyderabad",835000,Home Test Drive
27,Maruti Suzuki Vitara Brezza,Maruti,Suzuki,2020,Vitara Brezza,Diesel,74574,"Uppal, Hyderabad",945000,Home Test Drive
28,MG Gloster Savvy 6,MG,Gloster,2020,Savvy 6,Diesel,87116,"Nagarjuna Hills, Hyderabad",2650000,Home Test Drive
29,Hyundai i10 Magna,Hyundai,i10,2012,Magna,Petrol,53984,"Bellavista, Hyderabad",274000,Home Test Drive
30,Hyundai i10 Era 1.1,Hyundai,i10,2011,Era 1.1,Petrol,13251,"Bellavista, Hyderabad",255000,Home Test Drive
31,Renault Duster RXS Petrol,Renault,Duster,2019,RXS Petrol,Petrol,70844,"L B Nagar,",678000,Home Test Drive
32,MG Gloster Savvy 6,MG,Gloster,2020,Savvy 6,Diesel,87116,"Nagarjuna Hills, Hyderabad",2650000,Home Test Drive
33,Hyundai i10 Era 1.1,Hyundai,i10,2011,Era 1.1,Petrol,13251,"Bellavista, Hyderabad",255000,Home Test Drive
34,Honda Mobilio RS(O) Diesel,Honda,Mobilio,2016,RS(O) Diesel,Diesel,134181,"Nagarjuna Hills, Hyderabad",460000,Home Test Drive
35,Volkswagen Vento Highline Diesel,Volkswagen,Vento,2016,Highline Diesel,Diesel,80365,"Uppal, Hyderabad",600000,Home Test Drive
36,Maruti Suzuki Celerio ZXi,Maruti,Suzuki,2015,Celerio ZXi,Petrol,94084,"Nagarjuna Hills, Hyderabad",300000,Home Test Drive
37,Nissan Micra Active XV,Nissan,Micra,2016,Active XV,Petrol,38916,"Nagarjuna Hills, Hyderabad",450000,Home Test Drive
38,Maruti Suzuki Baleno Alpha,Maruti,Suzuki,2022,Baleno Alpha,Petrol,28700,"Nagarjuna Hills, Hyderabad",800000,Home Test Drive
